127.0.0.1 - - [31/Mar/2021:20:56:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:38 +0900] "GET /teamProject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:39 +0900] "GET /teamProject/login?uri=/ HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:39 +0900] "GET /teamProject/resources/css/guide.css HTTP/1.1" 200 982
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:39 +0900] "GET /teamProject/resources/css/style.css HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:39 +0900] "GET /teamProject/resources/img/hotelLogo_draw.png HTTP/1.1" 200 85375
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:56:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:04 +0900] "POST /teamProject/login?uri=/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:04 +0900] "GET /teamProject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:04 +0900] "GET /teamProject/login?uri=/ HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:09 +0900] "POST /teamProject/login?uri=/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:09 +0900] "GET /teamProject/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:09 +0900] "GET /teamProject/login?uri=/ HTTP/1.1" 200 8811
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:15 +0900] "POST /teamProject/login?uri=/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:16 +0900] "GET /teamProject/ HTTP/1.1" 200 9501
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:18 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51761
0:0:0:0:0:0:0:1 - - [31/Mar/2021:20:57:18 +0900] "GET /teamProject/resources/css/calendar.css HTTP/1.1" 200 2036
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:00:13 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51567
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:01:23 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51929
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:01:24 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51929
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:01:24 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51929
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:01:27 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51929
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:02:05 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51953
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:02:06 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51953
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:02:29 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51962
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:02:29 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51962
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:04:05 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51906
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:04:47 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51950
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:04:48 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51950
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:04:56 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51951
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:04:57 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51951
0:0:0:0:0:0:0:1 - - [31/Mar/2021:21:05:24 +0900] "GET /teamProject/roomStatus HTTP/1.1" 200 51918
