127.0.0.1 - - [10/May/2021:14:06:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/ HTTP/1.1" 200 15207
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/img/Busanlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/img/restaurant.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/img/cafe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:38 +0900] "GET /busan/img/tourist.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:44 +0900] "GET /busan/ HTTP/1.1" 200 15207
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:44 +0900] "GET /busan/resources/weatherImg/%ED%9D%90%EB%A6%BC.png HTTP/1.1" 200 8344
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:48 +0900] "GET /busan/tour HTTP/1.1" 200 34906
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:48 +0900] "GET /busan/resources/css/header.css HTTP/1.1" 200 9992
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:48 +0900] "GET /busan/img/check/logo_180.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:48 +0900] "GET /busan/resources/js/map.js HTTP/1.1" 200 23610
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:48 +0900] "GET /busan/img/check/busanmap.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/food HTTP/1.1" 200 76933
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/3found.jpg HTTP/1.1" 200 137677
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/303%ED%99%94%EB%8D%95.jpg HTTP/1.1" 200 277585
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/1966%EC%A0%95%EC%9B%90.jpg HTTP/1.1" 200 152611
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/791%EB%B2%84%EA%B1%B0%ED%8A%B8%EB%9F%AD.jpg HTTP/1.1" 200 88702
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B0%88%EC%82%BC%EA%B5%AC%EC%9D%B4.jpg HTTP/1.1" 200 230587
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B0%80%EB%A7%88%EC%86%A5%EB%8F%BC%EC%A7%80%EA%B5%AD%EB%B0%A5.jpg HTTP/1.1" 200 181073
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B0%90%EA%B0%81%EC%97%94%EC%9C%A0%EB%B6%80.jpg HTTP/1.1" 200 123035
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B3%A0%EA%B4%80%ED%95%A8%EB%B0%95.jpg HTTP/1.1" 200 174382
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B0%9C%EA%B8%88%EB%B0%80%EB%A9%B4.jpg HTTP/1.1" 200 289076
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B3%B5%EC%88%9C%EB%8C%80.jpg HTTP/1.1" 200 277336
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B2%BD%EC%A3%BC%EC%A7%91.jpg HTTP/1.1" 200 177030
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B4%91%EC%95%88%EB%A6%AC%EA%B8%B8%EC%88%98%ED%9A%9F%EC%A7%91.jpg HTTP/1.1" 200 232767
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B3%A8%EB%93%A0%EB%A6%AC%EC%A7%80.jpg HTTP/1.1" 200 142876
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B8%88%EA%B0%95%EB%A7%8C%EB%91%90.jpg HTTP/1.1" 200 153848
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B8%B0%EC%9E%A5%EB%81%9D%EC%A7%91.jpg HTTP/1.1" 200 167111
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B9%80%EC%9C%A0%EC%88%9C%EB%8C%80%EA%B5%AC%EB%BD%88%EC%B0%9C.jpg HTTP/1.1" 200 174693
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B5%AD%EC%A0%9C%EB%B0%80%EB%A9%B4.jpg HTTP/1.1" 200 169996
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B9%A1%ED%86%B5%EA%B3%A8%EB%AA%A9%ED%95%A0%EB%A7%A4.jpg HTTP/1.1" 200 166858
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EA%B8%88%EC%A0%95%EC%95%84%EA%B5%AC%EC%B0%9C.jpg HTTP/1.1" 200 139304
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%83%89%EC%88%98%ED%83%95%EA%B0%80%EB%93%A0.jpg HTTP/1.1" 200 278033
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%82%B4%ED%98%B8%EB%83%89%EB%A9%B4.jpg HTTP/1.1" 200 308499
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8B%A4%EB%A6%AC%EC%A7%91.jpg HTTP/1.1" 200 156617
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%AC%B8%EB%A0%88%EC%8A%A4%ED%86%A0%EB%9E%91.jpg HTTP/1.1" 200 121566
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8C%80%ED%8B%B0%EB%AC%BC%EA%BD%81.jpg HTTP/1.1" 200 219107
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8C%80%EB%B0%95%ED%86%B5.jpg HTTP/1.1" 200 142303
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8F%84%EB%82%A0%EB%93%9C.jpg HTTP/1.1" 200 196528
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8C%80%EA%B2%8C%EB%A7%8C%EC%B0%AC.jpg HTTP/1.1" 200 177606
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8F%99%EC%9B%90%EC%9E%A5%EC%88%98%EC%B4%8C.jpg HTTP/1.1" 200 61690
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8F%88%EB%A8%B9%EC%9D%80%EA%B0%80%EB%A6%AC%EB%B9%84.jpg HTTP/1.1" 200 238992
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%8F%84%EB%A7%88.jpg HTTP/1.1" 200 217303
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%94%94%EC%97%90%EC%9D%B4%EB%B8%94%EB%8B%AC%EB%A7%9E%EC%9D%B4%EC%A0%90.jpg HTTP/1.1" 200 63540
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%9D%BC%EC%9D%B4%EC%98%A8%EC%8B%9D%EB%8B%B9.jpg HTTP/1.1" 200 142612
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%94%94%EC%97%90%EC%9D%B4%EB%B8%94.jpg HTTP/1.1" 200 198262
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%A7%8C%EC%84%A0%ED%95%B4%EB%AC%BC%ED%83%95.jpg HTTP/1.1" 200 107567
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%A7%91%EC%9D%80%EB%AC%BC%EC%86%A1%EC%96%B4.jpg HTTP/1.1" 200 90478
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%A9%98%EC%A6%88%ED%82%A4.jpg HTTP/1.1" 200 135469
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%A7%A8%EB%82%A0%EA%B5%AD%EC%88%98.jpg HTTP/1.1" 200 228229
0:0:0:0:0:0:0:1 - - [10/May/2021:14:06:51 +0900] "GET /busan/uploadFile/food/%EB%AA%85%EC%84%B1%ED%9A%9F%EC%A7%91.jpg HTTP/1.1" 200 117562
